# report v0.1.0 (Apr 13, 2023)
# Database: MetaSBT-Viruses
# Timestamp: 2023-04-17 15:13:36
# Cluster	Lineage	MAGs	Reference genomes	Bloom Filter Density	Mean completeness	Mean contamination	Mean strain heterogeneity
MSBT844	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Coccolithovirus|s__Emiliania_huxleyi_virus_207	0	1	0.313784	na	na	na
MSBT841	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Coccolithovirus|s__Emiliania_huxleyi_virus_201	0	1	0.311284	na	na	na
MSBT842	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Coccolithovirus|s__Emiliania_huxleyi_virus_202	0	1	0.315798	na	na	na
MSBT847	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Coccolithovirus|s__Emiliania_huxleyi_virus_88	0	1	0.309874	na	na	na
MSBT840	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Coccolithovirus|s__Emiliania_huxleyi_virus_86	0	1	0.310325	na	na	na
MSBT846	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Coccolithovirus|s__Emiliania_huxleyi_virus_84	0	1	0.309517	na	na	na
MSBT866	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Coccolithovirus|s__Emiliania_huxleyi_virus_99B1	0	1	0.305639	na	na	na
MSBT2015	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Prasinovirus|s__Yellowstone_lake_phycodnavirus_2	0	1	0.259261	na	na	na
MSBT2962	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Prasinovirus|s__Prasinovirus_sp	0	2	0.201694	na	na	na
MSBT2536	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Prasinovirus|s__Dishui_lake_phycodnavirus_1	0	1	0.241157	na	na	na
MSBT2058	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Prasinovirus|s__Ostreococcus_lucimarinus_virus_2	0	1	0.251746	na	na	na
MSBT2123	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Prasinovirus|s__Ostreococcus_tauri_virus_OtV5	0	1	0.254132	na	na	na
MSBT1423	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Prasinovirus|s__Ostreococcus_tauri_virus_1	0	1	0.257358	na	na	na
MSBT1197	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Prasinovirus|s__Micromonas_pusilla_virus_PL1	0	1	0.26423	na	na	na
MSBT2896	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Prasinovirus|s__Dishui_Lake_phycodnavirus_3	0	1	0.252089	na	na	na
